"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Burrows, Mike",681347,"PIT","SI","Sinker",2.2,2,"87",5.7,"21","0.263","0.263","0.281",10.9,9.5,10.5,"0.351","0.501","0.4",35.3
"Hollowell, Gavin",668970,"CHC","FF","4-Seam Fastball",2.2,2,"78",45.3,"21","0.125","0.125","0.252",28.9,28.6,20,"0.205","0.424","0.367",40
"Sauer, Matt",669422,"LAD","SI","Sinker",-3.4,-3,"90",17.6,"21","0.389","0.611","0.469",10.3,4.8,10,"0.27","0.504","0.38",17.6
"Molina, Anthony",683627,"COL","CH","Changeup",-1.9,-2,"110",18.1,"21","0.353","0.588","0.46",25,9.5,7.1,"0.323","0.632","0.459",46.7
"McFarland, T.J.",519008,"ATH","ST","Sweeper",-2.7,-3,"101",37.1,"21","0.4","0.85","0.54",23.9,9.5,7.4,"0.324","0.646","0.408",42.1
"Teng, Kai-Wei",678906,"SF","CU","Curveball",-3.6,-3,"79",13.8,"21","0.444","0.5","0.46",20.6,19,11.8,"0.268","0.333","0.324",35.7
"Baz, Shane",669358,"TB","SL","Slider",-9.6,-8,"82",3,"21","0.429","1.286","0.7",17.1,4.8,7.7,"0.382","1.035","0.587",65
"Murdock, Noah",668716,"ATH","FC","Cutter",-1.6,-1,"89",22.8,"21","0.429","0.571","0.49",33.3,9.5,20,"0.32","0.479","0.437",30.8
"Waddell, Brandon",663399,"NYM","CH","Changeup",-1.6,-1,"75",14.6,"21","0.263","0.474","0.35",10.8,4.8,4.3,"0.24","0.377","0.305",27.8
"Maxwell, Zach",687209,"CIN","FF","4-Seam Fastball",-3.3,-3,"94",57,"21","0.333","0.667","0.46",37.5,38.1,33.3,"0.241","0.296","0.302",60
"Woodford, Jake",663765,"AZ","FF","4-Seam Fastball",-0.6,-1,"108",17.3,"21","0.278","0.389","0.314",30,9.5,4.3,"0.253","0.405","0.331",41.2
"Tidwell, Blade",694918,"NYM","FF","4-Seam Fastball",1,1,"120",38.8,"21","0.263","0.421","0.333",22,19,12.5,"0.217","0.371","0.294",33.3
